Golgi control,Golgi atg7ko,Mito,Mito atg7ko,ER,ER atg7ko,Endosome,Endosome atg7ko,Nucleus,Nucleus atg7ko,Lysosome,Lysosome atg7ko,PM,PM atg7ko
,,0.280435,-0.102555,0.0791504,-0.0100983,,,-0.351109,-0.0485128,,,-0.103584,0.00354273
,,-0.0182625,0.16478,0.245701,0.081295,,,-0.0966839,0.355462,,,-0.344344,0.289797
,,0.0396892,-0.0583224,0.0368271,-0.0143863,,,0.160217,-0.102358,,,-0.468439,0.0958654
,,0.166355,0.0881347,-0.554279,0.243656,,,0.126554,-0.425878,,,-0.457629,-0.213474
,,0.0736844,0.140658,-0.710472,0.236688,,,0.233087,0.147361,,,0.0714409,-0.434785
,,0.124968,0.0437353,0.136488,0.0817891,,,-0.310275,-0.190105,,,0.0783659,0.0830253
,,0.217141,0.0615311,0.0656212,0.120063,,,-0.0687414,0.248809,,,-0.185406,-0.539605
,,0.0836485,0.212276,0.163789,0.424523,,,-0.119826,0.0789689,,,0.239009,-0.374452
,,-0.04941,0.0374818,-0.0292802,0.0876089,,,0.154148,-0.331606,,,-0.340754,-0.36797
,,0.0611985,0.0434312,0.143673,-0.405677,,,-0.230512,-0.172893,,,0.576861,0.0365504
,,0.0920831,0.0343863,-0.179928,-1.02121,,,0.154055,0.127843,,,0.399456,-0.252382
,,0.192061,0.0316967,-0.000692235,0.218059,,,0.103727,0.11191,,,0.326522,0.239584
,,0.233738,0.125893,-0.0181613,0.170749,,,-0.175603,0.126272,,,0.0501234,-0.345691
,,0.139433,0.204654,-0.0399106,0.0655865,,,0.0439052,-0.195263,,,-0.286501,0.22555
,,0.0103142,0.119448,-0.764842,0.0685936,,,-0.0156826,-0.281193,,,-0.0312882,0.513055
